geometry,address
POINT (-121.4369473 38.5137738),"Stockton Blvd Self Storage, Stockton Boulevard, 95824, Stockton Boulevard, Sacramento, California, United States"
POINT (-121.49429040738477 38.57034335),"1200, R Street, 95811, R Street, Sacramento, CA, United States"
POINT (-121.42295355 38.55566975),"Hornet Stadium, College Town Drive, 95819, College Town Drive, Sacramento, California, United States"
POINT EMPTY,
POINT (-121.5074879 38.6131518),"Capitol Oaks Drive, 95833, Sacramento, California, United States"
POINT EMPTY,
POINT (-121.813598 38.0111949),"West 10th Street, 94509, Antioch, California, United States"
POINT (-122.3455263 37.9621457),"San Pablo, 94806, California, United States"
POINT (-122.2939247613325 37.906898999999996),"El Cerrito High School, 540, Ashbury Avenue, 94530, Ashbury Avenue, El Cerrito, CA, United States"
POINT (-122.1338674 38.0138934),"Martinez, 94553, California, United States"
POINT EMPTY,
POINT (-122.1327796 38.0063406),"East Building, 2500, Alhambra Avenue, 94553, Alhambra Avenue, Martinez, CA, United States"
POINT (-122.1327796 38.0063406),"East Building, 2500, Alhambra Avenue, 94553, Alhambra Avenue, Martinez, CA, United States"
POINT (-122.1327796 38.0063406),"East Building, 2500, Alhambra Avenue, 94553, Alhambra Avenue, Martinez, CA, United States"
POINT (-122.1327796 38.0063406),"East Building, 2500, Alhambra Avenue, 94553, Alhambra Avenue, Martinez, CA, United States"
